adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
ZAF,South Africa,4,Limpopo,0,0,0,29.90615638,-23.81809295,860.8984116,5599862,6.748177325,0.000145519,9.25E-05,0.019669052,0,0.020964712,0.000286616,0.004241235,0.185425604,0.079507656,0.49766889,0.131845578,0.001454181,0.00669824,0.041277741,0.008196399,0,0.002526071,0.25442012,ZAF_4,NA
ZAF,South Africa,5,Mpumalanga,0,0,0,30.00516498,-25.76953048,1177.883901,3643710,6.561543805,0.001131189,0.000496096,0.021224138,0,0.028701288,0.000866493,0.006302847,0.148020292,0.069604029,0.416170547,0.073903891,0.002887353,0.084953155,0.111748696,0.031402295,0,0.002587531,0.265407118,ZAF_5,NA
ZAF,South Africa,6,North West,0,0,0,26.44852549,-26.09875319,1239.613364,3529576,6.547722538,0.000888849,8.91E-05,6.33E-06,0,0.018818524,4.03E-05,0.003001509,0.257928893,0.049239451,0.327273835,0.198538839,0.006044231,0.012394024,0.100415373,0.021839316,0,0.003481368,0.203774521,ZAF_6,NA
ZAF,South Africa,7,Northern Cape,0,0,0,22.78010743,-28.91428741,1082.83384,885416,5.947147366,0.001161897,0,0.000161061,0,4.62E-05,0.001277076,0.002338015,0.72170091,0.002391957,0.015834117,0.159797492,0,0.013374427,0.055428613,0,0,0.026488195,0.138290946,ZAF_7,NA
ZAF,South Africa,8,Orange Free State,0,0,0,27.16079727,-28.37552368,1466.541497,3187939,6.503510003,0.003787508,7.00E-05,2.36E-06,0,0.001282436,6.39E-05,0.000650681,0.194892797,0.047529477,0.285585032,0.208201423,0.000763917,0.013616735,0.237228092,0.002339614,0,0.003985961,0.200517915,ZAF_8,NA
ZAF,South Africa,10,Western Cape,0,0,0,19.12872582,-33.81320305,146.3122125,4806668,6.681844126,0.056875207,0.003675355,0.018902684,2.94E-05,0.001235252,0.001415103,0.004981149,0.100891159,0.054098426,0.037142156,0.121049333,0.004937788,0.141278341,0.444587112,0.002196724,0,0.006704971,0.219190678,ZAF_10,NA
ZMB,Zambia,1,Central,0,0,0,28.48471971,-14.41019949,1172.179567,1496202,6.174990231,0.001354325,7.61E-05,0.000312512,0,0.002963085,0.000370455,0.008091973,0.00605269,0.260464211,0.630382927,0.013468768,0.001207102,0.016745525,0.010449314,0.04775134,0,0.000309682,0.323831739,ZMB_1,NA
ZMB,Zambia,2,Copperbelt,0,0,0,28.26270159,-12.86517471,1253.841756,2213113,6.345003589,0.015211433,4.05E-05,0.001573006,0,0.017726859,0.000107418,0.007724931,0.04648952,0.295369464,0.227239439,0.032878492,0.002533692,0.022519579,0.285988577,0.041862658,0,0.002734417,0.296456421,ZMB_2,NA
ZMB,Zambia,3,Eastern,0,0,0,32.28674345,-13.45234679,1010.601705,1827285,6.261806289,8.27E-05,2.37E-05,0.00049279,0,0.000591862,0,0.003481969,0.003641869,0.078588269,0.838222006,0.006996757,6.99E-05,0.032775003,0.000411311,0.034621801,0,0,0.31319669,ZMB_3,NA
ZMB,Zambia,4,Luapula,0,0,0,29.10775364,-10.488103,1128.040827,1064235,6.027037538,0.070697634,0.002915546,0.011421124,0,0.00950297,0.001184629,0.019238016,0.007330558,0.385158012,0.417539896,0.020413068,0.006051326,0.001083193,0.002041757,0.044279378,0,0.001142768,0.343240019,ZMB_4,NA
